iso3_country,country_name,cluster,PC1,PC2,emissions_2025,change_2015_2025,percent_change_2015_2025
ABW,ABW,1,-1.2089043878597965,1.9967195714174504,1716353.9491282736,125529.67717938824,7.8908575505705905
AFG,AFG,2,-1.121901025739019,-0.7702246823914923,47774753.0662068,5239884.881674454,12.319034019200087
AGO,AGO,0,1.5869093466205062,0.2573544712909307,93369995.7096732,-16063194.41812238,-14.678539846424886
ALB,ALB,0,0.0428437397512761,1.3570523950246045,11111707.268896371,-1024536.3585396986,-8.441956094417531
ARE,ARE,3,2.6844379136779764,-0.9079305680982732,437054861.9198544,37711278.74208796,9.443316565149592
ARG,ARG,3,0.7288844130136741,-1.2556563657889137,463406268.9835172,38799319.75650936,9.13770248629776
ARM,ARM,4,-0.9898088787465064,0.1101604925713755,13327155.697715688,2660741.1790114325,24.945038225784764
ATG,ATG,1,-2.214634404635032,2.022376272409554,1043826.7588595996,144271.1806235814,16.038050801317876
AUS,AUS,3,1.218404453600192,-1.0694187407607063,789368731.4671799,35515992.178465605,4.7112639282807605
AUT,AUT,0,2.1110679951243,1.1664952334299392,80530835.21993318,-5710197.385702372,-6.621207113572096
AZE,AZE,3,1.077678777874058,-0.8576323604827637,91958686.53398204,15633499.89834848,20.48275358038855
BDI,BDI,2,-2.1670307780501146,-1.463652055801742,12794025.009466637,3149150.986370962,32.65103285776451
BEL,BEL,0,2.272098314195665,1.2394592918254723,128238101.51395053,-12080076.75665377,-8.609060426481083
BEN,BEN,2,-1.2968090468392228,-0.6993322491518147,19269527.97680477,3699624.0913204327,23.761380407553784
BES,BES,1,-0.0029878189602116,3.287562953213247,1099666.2922171932,-656213.2635475118,-37.37233920134822
BFA,BFA,2,-1.2545806300062257,-1.7883564510249377,41720129.23699029,5434086.943831995,14.975694786247296
BGD,BGD,2,0.3265356053438213,-1.6040751803080695,329452748.5470354,42994367.83773524,15.008940472007415
BGR,BGR,0,1.175217796728186,1.4745784402237914,51550375.762182586,-13535409.286088273,-20.796260314060497
BHR,BHR,3,1.904193118283916,-0.9888515723469355,75956371.1732279,12085685.223574772,18.922115903219616
BHS,BHS,1,-2.48211203359156,1.0842086435092095,7644733.845611288,2893962.449258656,60.91563259559221
BIH,BIH,3,0.0264394034471034,0.2110456732014692,32652740.345567614,1927283.163403634,6.272593934004715
BLR,BLR,0,0.4776619551834901,-0.2519043816558912,130243893.50311863,-7751310.025808752,-5.617086556333732
BLZ,BLZ,2,-2.9960828839241254,-0.1418479914018771,2320478.096147049,643025.2605054704,38.33343309825646
BMU,BMU,1,-1.2750406239513103,2.121143698979859,1088596.158113879,35708.52427927451,3.391484820580947
BOL,BOL,2,-0.7516108088435309,-1.0306354174980776,82161150.6164844,12157342.004651455,17.36668653567581
BRA,BRA,2,0.2169611518322076,-1.679183836567123,1367986488.607181,75455776.34682846,5.837832372653867
BRB,BRB,1,-1.4879539026675304,1.7349285274714892,2477824.181659105,252235.5619665715,11.333431512667334
BRN,BRN,3,1.5268116853567493,-0.8806452892352503,16341595.154061971,1575146.658749668,10.667064997041823
BTN,BTN,0,0.9413528831363884,0.5532287781346017,3852158.477896332,396113.55950563774,11.46147023141377
BWA,BWA,0,-0.3807930928437988,1.5146543697818142,17342519.82002208,-2194828.119754896,-11.23401255134708
CAF,CAF,2,-1.649354910949261,-2.0994299700824377,15350342.465201968,2234858.6550405025,17.03984913853505
CAN,CAN,3,1.597149154142366,-1.2082724792751232,934156698.9840608,50835322.72307086,5.755020096791005
CHE,CHE,0,0.972488468960501,1.7020209616421895,44533106.52252848,-4261663.833172321,-8.733853652975379
CHL,CHL,4,-0.1800189319199526,-0.3711691151902805,124503647.43439344,1912132.5434803965,1.5597592909932554
CHN,CHN,3,3.05072203419503,-1.411026603553844,17518235252.209835,3518712566.2334824,25.13451812009461
CIV,CIV,2,-0.560077610499111,-0.4320003259678996,43931332.934595264,10734836.55121646,32.33725760466487
CMR,CMR,2,-0.4262113048375036,-0.8808600042207719,60422668.8423386,5421317.829010248,9.856699388523223
COD,COD,4,-3.1458167713066207,-1.415284806531718,67859028.27829756,19905686.6322016,41.510530755310114
COG,COG,3,0.8765174764752234,-1.689611369163695,35188327.928956024,6579040.829371374,22.996171860105136
COL,COL,2,0.3634656845559684,-1.553299100227261,255137547.74988332,21563164.101771176,9.231818902819764
CPV,CPV,1,-2.5272198923188305,1.167633547840193,1863486.7509498096,675371.4035768302,56.84392555572418
CRI,CRI,2,-1.6420676461185104,-0.5829749841995169,21050590.26623819,2475836.794055734,13.32904255102791
CUB,CUB,0,0.8890796265534671,1.3574870523551148,45983589.845006734,-14938194.6946444,-24.52028417670829
CUW,CUW,0,0.6888582931802991,3.0189209767556218,2818494.379505273,-1324681.5938996263,-31.972612372797453
