iso3_country,country_name,year,sector,sector_clean,emissions
ABW,ABW,2015,agriculture,Agriculture,0.0
ABW,ABW,2015,buildings,Buildings,40323.10489411317
ABW,ABW,2015,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2015,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2015,manufacturing,Manufacturing,33282.694466261164
ABW,ABW,2015,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2015,power,Power,715004.2989164967
ABW,ABW,2015,transportation,Transportation,780834.2005688673
ABW,ABW,2015,waste,Waste,21379.97310314716
ABW,ABW,2016,agriculture,Agriculture,0.0
ABW,ABW,2016,buildings,Buildings,48024.40769377194
ABW,ABW,2016,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2016,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2016,manufacturing,Manufacturing,28684.754680512106
ABW,ABW,2016,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2016,power,Power,722948.4238792513
ABW,ABW,2016,transportation,Transportation,838703.3249926685
ABW,ABW,2016,waste,Waste,21544.91170325696
ABW,ABW,2017,agriculture,Agriculture,0.0
ABW,ABW,2017,buildings,Buildings,41874.61318282144
ABW,ABW,2017,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2017,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2017,manufacturing,Manufacturing,45909.68207092312
ABW,ABW,2017,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2017,power,Power,751107.681854911
ABW,ABW,2017,transportation,Transportation,874576.6455059681
ABW,ABW,2017,waste,Waste,21697.442211067435
ABW,ABW,2018,agriculture,Agriculture,0.0
ABW,ABW,2018,buildings,Buildings,46758.38150729769
ABW,ABW,2018,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2018,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2018,manufacturing,Manufacturing,39444.75114705269
ABW,ABW,2018,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2018,power,Power,731047.4186330935
ABW,ABW,2018,transportation,Transportation,817311.4742920097
ABW,ABW,2018,waste,Waste,21867.742709484457
ABW,ABW,2019,agriculture,Agriculture,0.0
ABW,ABW,2019,buildings,Buildings,55892.37635568892
ABW,ABW,2019,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2019,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2019,manufacturing,Manufacturing,35023.49001607962
ABW,ABW,2019,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2019,power,Power,741139.5296304919
ABW,ABW,2019,transportation,Transportation,783147.9302286906
ABW,ABW,2019,waste,Waste,22010.539681835915
ABW,ABW,2020,agriculture,Agriculture,0.0
ABW,ABW,2020,buildings,Buildings,41782.44697014551
ABW,ABW,2020,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2020,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2020,manufacturing,Manufacturing,33968.390714322515
ABW,ABW,2020,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2020,power,Power,741093.4012436203
ABW,ABW,2020,transportation,Transportation,519053.1051310796
ABW,ABW,2020,waste,Waste,22153.33275837428
ABW,ABW,2021,agriculture,Agriculture,0.0
ABW,ABW,2021,buildings,Buildings,45475.25667745563
ABW,ABW,2021,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2021,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2021,manufacturing,Manufacturing,41366.635959300605
ABW,ABW,2021,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2021,power,Power,749200.0996823496
ABW,ABW,2021,transportation,Transportation,778346.8779473116
ABW,ABW,2021,waste,Waste,22243.47734951105
ABW,ABW,2022,agriculture,Agriculture,0.0
ABW,ABW,2022,buildings,Buildings,45249.17941140365
ABW,ABW,2022,fluorinated-gases,Fluorinated Gases,0.0
ABW,ABW,2022,fossil-fuel-operations,Fossil Fuel Operations,0.0
ABW,ABW,2022,manufacturing,Manufacturing,43222.41388124838
ABW,ABW,2022,mineral-extraction,Mineral Extraction,0.0
ABW,ABW,2022,power,Power,748492.2881686438
ABW,ABW,2022,transportation,Transportation,818965.1188639204
ABW,ABW,2022,waste,Waste,22362.25217306013
ABW,ABW,2023,agriculture,Agriculture,0.0
ABW,ABW,2023,buildings,Buildings,47260.67165933138
ABW,ABW,2023,fluorinated-gases,Fluorinated Gases,0.0
