iso3_country,country_name,year,emissions
ABW,ABW,2015,1590824.2719488854
ABW,ABW,2016,1659905.8229494607
ABW,ABW,2017,1735166.0648256913
ABW,ABW,2018,1656429.768288938
ABW,ABW,2019,1637213.865912787
ABW,ABW,2020,1358050.6768175422
ABW,ABW,2021,1636632.3476159284
ABW,ABW,2022,1678291.2524982763
ABW,ABW,2023,1622670.2238175157
ABW,ABW,2024,1727924.6350733447
ABW,ABW,2025,1716353.9491282736
AFG,AFG,2015,42534868.18453234
AFG,AFG,2016,39420919.85645408
AFG,AFG,2017,40260215.722448684
AFG,AFG,2018,44593962.44080597
AFG,AFG,2019,43786153.13574851
AFG,AFG,2020,44330116.56225362
AFG,AFG,2021,44052841.597770415
AFG,AFG,2022,44380848.33440656
AFG,AFG,2023,45798312.15724445
AFG,AFG,2024,47130011.89270508
AFG,AFG,2025,47774753.0662068
AGO,AGO,2015,109433190.1277956
AGO,AGO,2016,108759962.30921264
AGO,AGO,2017,104636852.75030604
AGO,AGO,2018,101598931.66231628
AGO,AGO,2019,102025912.40896054
AGO,AGO,2020,90036192.02241038
AGO,AGO,2021,92420675.56162488
AGO,AGO,2022,95665642.7456263
AGO,AGO,2023,96640200.28140724
AGO,AGO,2024,94589061.51796822
AGO,AGO,2025,93369995.7096732
AIA,AIA,2015,148716.1257016271
AIA,AIA,2016,157637.20446104908
AIA,AIA,2017,157655.54904328095
AIA,AIA,2018,149075.21156383655
AIA,AIA,2019,155561.1229328748
AIA,AIA,2020,144849.8534382798
AIA,AIA,2021,143828.88362319078
AIA,AIA,2022,148281.84066573787
AIA,AIA,2023,175681.56919006986
AIA,AIA,2024,166587.99435104674
AIA,AIA,2025,164915.61431622892
ALA,ALA,2015,329659.3172573522
ALA,ALA,2016,358232.35819456296
ALA,ALA,2017,383103.428594648
ALA,ALA,2018,393897.119893784
ALA,ALA,2019,405305.48245612025
ALA,ALA,2020,415983.2308265207
ALA,ALA,2021,476237.8212701599
ALA,ALA,2022,459653.3614380162
ALA,ALA,2023,354515.38125268306
ALA,ALA,2024,392939.1321267058
ALA,ALA,2025,431071.5643641669
ALB,ALB,2015,12136243.627436072
ALB,ALB,2016,11661376.641968742
ALB,ALB,2017,11938723.99411914
ALB,ALB,2018,11801569.686468778
ALB,ALB,2019,12048401.200083388
ALB,ALB,2020,10579831.932221832
ALB,ALB,2021,10923003.551847408
ALB,ALB,2022,11010748.03511302
ALB,ALB,2023,10923190.776906032
ALB,ALB,2024,10996467.549318371
ALB,ALB,2025,11111707.268896371
AND,AND,2015,228208.6902705972
AND,AND,2016,228968.66514913773
AND,AND,2017,234806.92779514584
AND,AND,2018,242638.1039872841
AND,AND,2019,241143.4271319229
AND,AND,2020,236880.9316169775
AND,AND,2021,242876.3236030711
AND,AND,2022,239582.80185576665
AND,AND,2023,239406.80589479185
AND,AND,2024,241539.2081971358
AND,AND,2025,244392.25139658336
ARE,ARE,2015,399343583.1777664
ARE,ARE,2016,413102188.7220494
ARE,ARE,2017,402685563.4087296
ARE,ARE,2018,388753220.9273661
ARE,ARE,2019,407843381.995292
ARE,ARE,2020,381067131.76557887
ARE,ARE,2021,403336766.0068238
ARE,ARE,2022,427928081.944479
ARE,ARE,2023,432489941.48797387
ARE,ARE,2024,438782996.7990248
ARE,ARE,2025,437054861.9198544
ARG,ARG,2015,424606949.2270078
ARG,ARG,2016,422491619.90748215
ARG,ARG,2017,433039390.93899584
ARG,ARG,2018,432653272.1910192
ARG,ARG,2019,432192754.1965676
ARG,ARG,2020,409767221.8910889
ARG,ARG,2021,443567998.8835108
ARG,ARG,2022,454553446.6252407
ARG,ARG,2023,445730857.3935676
ARG,ARG,2024,455662645.63387966
ARG,ARG,2025,463406268.9835172
ARM,ARM,2015,10666414.518704256
ARM,ARM,2016,10351120.498606622
ARM,ARM,2017,10645765.36633321
ARM,ARM,2018,10738684.14945264
ARM,ARM,2019,11504130.897439187
ARM,ARM,2020,12548834.33315338
ARM,ARM,2021,13321612.037402986
ARM,ARM,2022,13510530.597488968
ARM,ARM,2023,14042668.960985512
ARM,ARM,2024,13228225.502181754
ARM,ARM,2025,13327155.697715688
ASM,ASM,2015,312698.1061189769
ASM,ASM,2016,321947.21276666125
ASM,ASM,2017,351341.5537121482
ASM,ASM,2018,357924.8777768142
ASM,ASM,2019,341055.6370501196
ASM,ASM,2020,324027.8726351302
ASM,ASM,2021,330192.0097380949
ASM,ASM,2022,335518.13684808183
ASM,ASM,2023,378537.35652828834
ASM,ASM,2024,351383.1725563047
ASM,ASM,2025,334195.2730466714
ATA,ATA,2015,74525.87735029866
ATA,ATA,2016,95109.9373283977
ATA,ATA,2017,123026.93688257094
ATA,ATA,2018,135245.43040826212
ATA,ATA,2019,159011.84972017628
ATA,ATA,2020,122993.84808240272
ATA,ATA,2021,122495.49801943706
ATA,ATA,2022,287354.7794538125
ATA,ATA,2023,466430.1514179834
ATA,ATA,2024,548183.3799631041
