iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025,archetype
ABW,ABW,1590824.2719488854,1659905.8229494607,1735166.0648256913,1656429.768288938,1637213.865912787,1358050.6768175422,1636632.3476159284,1678291.2524982765,1622670.2238175157,1727924.6350733447,1716353.9491282736,125529.67717938824,7.8908575505705905,"Lower-emitting, stable/moderate growth"
AFG,AFG,42534868.184532344,39420919.856454074,40260215.722448684,44593962.44080597,43786153.13574851,44330116.56225362,44052841.597770415,44380848.33440656,45798312.157244444,47130011.892705075,47774753.0662068,5239884.881674454,12.319034019200087,"Lower-emitting, stable/moderate growth"
AGO,AGO,109433190.12779559,108759962.30921264,104636852.75030603,101598931.66231628,102025912.40896054,90036192.02241038,92420675.56162487,95665642.7456263,96640200.28140724,94589061.51796822,93369995.70967321,-16063194.418122381,-14.678539846424886,"Lower-emitting, declining"
AIA,AIA,148716.1257016271,157637.20446104908,157655.54904328095,149075.21156383655,155561.1229328748,144849.8534382798,143828.88362319078,148281.84066573787,175681.56919006986,166587.99435104674,164915.61431622892,16199.48861460181,10.892893113086641,"Lower-emitting, stable/moderate growth"
ALA,ALA,329659.3172573522,358232.35819456296,383103.428594648,393897.11989378394,405305.48245612025,415983.23082652065,476237.82127015985,459653.36143801623,354515.38125268306,392939.1321267058,431071.5643641669,101412.2471068147,30.762742564210953,"Lower-emitting, fast-growing"
ALB,ALB,12136243.627436072,11661376.641968742,11938723.99411914,11801569.686468778,12048401.200083388,10579831.932221832,10923003.551847408,11010748.03511302,10923190.776906032,10996467.549318371,11111707.268896373,-1024536.3585396986,-8.441956094417531,"Lower-emitting, stable/moderate growth"
AND,AND,228208.6902705972,228968.66514913773,234806.92779514586,242638.10398728406,241143.42713192292,236880.9316169775,242876.3236030711,239582.80185576662,239406.80589479185,241539.2081971358,244392.25139658336,16183.561125986162,7.091562160405282,"Lower-emitting, stable/moderate growth"
ARE,ARE,399343583.17776644,413102188.7220494,402685563.40872955,388753220.92736614,407843381.995292,381067131.76557887,403336766.0068238,427928081.944479,432489941.48797387,438782996.79902476,437054861.9198544,37711278.74208796,9.443316565149592,"High-emitting, stable/moderate growth"
ARG,ARG,424606949.2270078,422491619.90748215,433039390.93899584,432653272.19101924,432192754.1965676,409767221.8910889,443567998.88351077,454553446.6252407,445730857.3935676,455662645.63387966,463406268.98351717,38799319.75650936,9.13770248629776,"High-emitting, stable/moderate growth"
ARM,ARM,10666414.518704256,10351120.498606622,10645765.36633321,10738684.14945264,11504130.897439187,12548834.33315338,13321612.037402986,13510530.597488968,14042668.960985512,13228225.502181754,13327155.697715688,2660741.1790114325,24.945038225784764,"Lower-emitting, stable/moderate growth"
ASM,ASM,312698.1061189769,321947.21276666125,351341.5537121482,357924.8777768142,341055.6370501196,324027.8726351302,330192.0097380949,335518.13684808183,378537.35652828834,351383.1725563047,334195.2730466714,21497.166927694518,6.874735250080207,"Lower-emitting, stable/moderate growth"
