OBJECTID,Shape,Country Name,iso3_country,Continent,LAND_TYPE,Land Rank,Affiliated Country,ORIG_FID,centroid_lon,centroid_lat
1,Point,Afghanistan,AFG,Asia,Primary land,5,Afghanistan,1,66.065186,33.910354
2,Point,Albania,ALB,Europe,Primary land,5,Albania,2,20.064043,41.150428
3,Point,Albania,ALB,Europe,Very small island,1,Albania,3,19.460906,41.857113
4,Point,Albania,ALB,Europe,Small island,2,Albania,4,19.278931,40.494241
5,Point,Algeria,DZA,Africa,Small island,2,Algeria,5,-1.131075,35.724049
6,Point,Algeria,DZA,Africa,Very small island,1,Algeria,6,-1.479637,35.321533
7,Point,Algeria,DZA,Africa,Primary land,5,Algeria,7,2.673574,28.420827
8,Point,American Samoa,ASM,Oceania,Very small island,1,United States,8,-168.155266,-14.558524
9,Point,American Samoa,ASM,Oceania,Small island,2,United States,9,-169.467102,-14.23568
10,Point,American Samoa,ASM,Oceania,Primary land,5,United States,10,-170.718087,-14.300667
11,Point,Andorra,AND,Europe,Primary land,5,Andorra,11,1.575995,42.545321
12,Point,Angola,AGO,Africa,Very small island,1,Angola,12,12.80843,-6.003717
13,Point,Angola,AGO,Africa,Primary land,5,Angola,13,17.580573,-12.395574
14,Point,Angola,AGO,Africa,Small island,2,Angola,14,11.704605,-16.592971
15,Point,Anguilla,AIA,North America,Primary land,5,United Kingdom,15,-63.184773,18.266723
16,Point,Anguilla,AIA,North America,Very small island,1,United Kingdom,16,-63.42564,18.588175
17,Point,Anguilla,AIA,North America,Small island,2,United Kingdom,17,-63.054341,18.21465
18,Point,Antarctica,ATA,Antarctica,Small island,2, ,18,-149.211079,-77.348819
19,Point,Antarctica,ATA,Antarctica,Primary land,5, ,19,9.126129,-85.893766
20,Point,Antarctica,ATA,Antarctica,Large island,4, ,20,-70.01322,-71.048846
21,Point,Antarctica,ATA,Antarctica,Medium island,3, ,21,167.484626,-77.546126
22,Point,Antigua and Barbuda,ATG,North America,Small island,2,Antigua and Barbuda,22,-61.754722,17.155226
23,Point,Antigua and Barbuda,ATG,North America,Very small island,1,Antigua and Barbuda,23,-61.850448,17.632352
24,Point,Antigua and Barbuda,ATG,North America,Primary land,5,Antigua and Barbuda,24,-61.798213,17.077124
25,Point,Argentina,ARG,South America,Primary land,5,Argentina,25,-65.388993,-36.330264
