iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
ABW,ABW,0.0,0.02859534618802464,0.0,0.0,0.026741616585433853,0.0,0.4361120412580297,0.49548065208189174,0.013070343886620032,1716353.9491282736,125529.67717938824,7.8908575505705905,1,-1.2089043878597965,1.9967195714174506
AFG,AFG,0.37836388011021604,0.027992688289408776,0.023275795955407325,0.032486220430443996,0.09476467940262184,0.0016134734776299458,0.06115980487185752,0.2660495475546896,0.11429390990772505,47774753.0662068,5239884.881674454,12.319034019200087,2,-1.121901025739019,-0.7702246823914923
AGO,AGO,0.14131528512262695,0.10673113065361228,0.00819104440657874,0.38095220910548055,0.06897314451350572,7.8076473545824e-06,0.04739425503315738,0.19819168878176513,0.04824343473591872,93369995.7096732,-16063194.41812238,-14.678539846424886,0,1.5869093466205062,0.25735447129093075
ALB,ALB,0.13535428537264624,0.07816926027032295,0.026188415835391433,0.12610855100228763,0.16167773145761818,0.0020168446221205958,0.0,0.37398319401454805,0.09650171742506497,11111707.268896371,-1024536.3585396986,-8.441956094417531,0,0.04284373975127619,1.3570523950246045
ARE,ARE,0.0048896195780837245,0.002946349490540931,0.06515082749813805,0.3143100530543445,0.26206121864690063,0.0,0.18778848339573562,0.14719244689404998,0.015661001442206533,437054861.9198544,37711278.74208796,9.443316565149592,3,2.6844379136779764,-0.9079305680982733
ARG,ARG,0.3026931888953325,0.0899451475076237,0.04336358680561515,0.15641322579258357,0.07247228222365819,0.0006913177948643477,0.10828069898443068,0.19907930872190663,0.027061243273985316,463406268.9835172,38799319.75650936,9.13770248629776,3,0.7288844130136741,-1.2556563657889135
ARM,ARM,0.10120837375191903,0.22575395550842536,0.03301109099801449,0.04223222088697412,0.06078144255661558,0.07637215499150321,0.12856163233981996,0.2818332278061989,0.05024590116052935,13327155.697715688,2660741.1790114325,24.945038225784764,4,-0.9898088787465065,0.11016049257137554
ATG,ATG,0.015838499053975417,0.028718135908737785,0.0005084702949940269,0.0,0.009422820889756866,0.0,0.27637105779025406,0.6246379526489191,0.0445030634133628,1043826.7588595996,144271.1806235814,16.038050801317876,1,-2.214634404635032,2.022376272409554
AUS,AUS,0.1527156473512363,0.04290281148057484,0.018923336201347955,0.24874457236604275,0.08776904833222732,0.013350586071772887,0.19905567877617023,0.2190285163951532,0.01750980302547449,789368731.4671799,35515992.178465605,4.7112639282807605,3,1.218404453600192,-1.0694187407607063
AUT,AUT,0.07721538070059585,0.10559836434083188,0.022165132455613447,0.10285468143700512,0.2920433853382661,0.0024779398818524727,0.13381415303624333,0.22344562542374546,0.0403853373858463,80530835.21993318,-5710197.385702372,-6.621207113572096,0,2.1110679951242997,1.1664952334299392
AZE,AZE,0.056674274078029524,0.1252483262009598,0.024261220401680637,0.3801359331276506,0.0479764944144469,0.0005360818414688517,0.16819171776092368,0.16172228868057242,0.035253663494267506,91958686.53398204,15633499.89834848,20.48275358038855,3,1.077678777874058,-0.8576323604827637
