iso3_country,change_2015_2025
ABW,125529.68
AFG,5239884.881674454
AGO,-16063194.42
AIA,16199.48861460181
ALA,101412.2471068147
ALB,-1024536.36
AND,16183.561125986162
ARE,37711278.74208796
ARG,38799319.75650936
ARM,2660741.1790114325
ASM,21497.166927694518
ATA,541122.4279529767
ATF,-95.1
ATG,144271.1806235814
AUS,35515992.178465605
AUT,-5710197.39
AZE,15633499.89834848
BDI,3149150.986370962
BEL,-12080076.76
BEN,3699624.0913204327
BES,-656213.26
BFA,5434086.943831995
BGD,42994367.837735236
BGR,-13535409.29
BHR,12085685.223574772
BHS,2893962.4492586553
BIH,1927283.163403634
BLM,44960.34785728066
BLR,-7751310.03
BLZ,643025.2605054704
BMU,35708.52427927451
BOL,12157342.004651457
BRA,75455776.34682846
BRB,252235.5619665715
BRN,1575146.658749668
BTN,396113.55950563774
BVT,0
BWA,-2194828.12
CAF,2234858.6550405025
CAN,50835322.72307086
CCK,217.3061476909288
CHE,-4261663.83
CHL,1912132.5434803963
CHN,3518712566.2334824
CIV,10734836.55121646
CMR,5421317.829010248
COD,19905686.632201597
COG,6579040.829371374
COK,42424.83202369293
COL,21563164.101771176
COM,245601.36371941376
CPV,675371.4035768302
CRI,2475836.794055734
CUB,-14938194.69
CUW,-1324681.59
CXR,18251.080564341402
CYM,49629.38
CYP,3153282.871556986
CZE,-34838882.81
DEU,-270017906.6
DJI,316152.16
DMA,56497.200489919866
DNK,-5021147.1
DOM,13572649.804832637
DZA,25452052.227405906
ECU,-5121433.07
EGY,9724766.614540458
ERI,-129883.75
ESH,199671.57912332786
ESP,-36682806.55
EST,-9987943.1
ETH,65653917.97537452
FIN,-14573463.28
FJI,-4835303.18
FLK,45943.46450834628
FRA,-71290038.59
FRO,393672.11
FSM,6727.378574849165
GAB,-3924502.13
GBR,-127498198.2
GEO,4561614.47
GGY,92626.68206523429
GHA,18460949.780946605
GIB,-188521.6
GIN,10109828.568090461
GLP,-321324.98
GMB,15064.712888104841
GNB,169017.82870683912
GNQ,-10368103.15
GRC,-21212449.58
GRD,259053.63958097587
GRL,374096.27759433654
GTM,8571542.12
GUF,54743.16
GUM,81399.04054342816
GUY,15129919.132852346
HKG,-10734105
HMD,0
HND,3173422.1733696386
HRV,3550052.8864982016
HTI,752807.8919726331
HUN,-12317769.89
IDN,434709009.2616732
IMN,-17959.23
IND,1111563692.4033256
IOT,1080.5523403710977
IRL,-3705640.05
IRN,288921255.7289587
IRQ,162717654.77084452
ISL,1613267.2499886937
ISR,9651875.065422505
ITA,-70586096.08
JAM,683455.1734106652
JEY,96566.44517114409
JOR,953999.64
JPN,-283975411.5
KAZ,84925528.5
KEN,30006920.14372763
KGZ,1289837.8811749108
KHM,18258751.263027146
KIR,-978.71
KNA,62701.18496295088
KOR,-36547729.33
KWT,45243551.78230712
LAO,22658858.369951826
LBN,-16665865.77
LBR,11700.679105594754
LBY,38925508.89
LCA,141638.24592922465
LIE,-11818.86
LKA,7485343.532076947
LSO,514792.5110286297
LTU,-2302833.51
LUX,-509723.22
LVA,449262.10433059186
MAC,150315.96588236187
MAF,153521.89520823682
MAR,25258441.25262402
MCO,3589.016694740829
MDA,1509078.6508328505
MDG,-1883646.79
MDV,934368.6271414727
MEX,-18147286.25
MHL,-186373.54
MKD,-639626.9
MLI,24962104
MLT,726379.54
MMR,826813.7899908423
MNE,-366880.45
MNG,56020679.53563784
MNP,-42646.97
MOZ,17773351.700331964
MRT,6330474.971317112
MSR,-16610.95
MTQ,254838.8985488182
MUS,1817859.3474961314
MWI,7088785.985472862
MYS,41226568.58
MYT,73383.20197371359
NAM,1717696.6674114913
NCL,1107832.7666006647
NER,22906538.95565126
NFK,3229.9033096362364
NGA,6178467.361275852
NIC,2275085.135693338
NIU,6941.613632726194
NLD,-37575801.11
NOR,263787.2290495187
NPL,10821876.61586149
NRU,16834.683598588766
NZL,-3762329.99
OMN,32658447.47321877
PAK,164634774.76363087
PAN,5542778.474092975
PCN,9386.947947184888
PER,18217922
PHL,87475427.06137073
PLW,184094.46619375702
PNG,3040489.6013400257
POL,-38375232.36
PRI,-864422.07
PRK,5610626.0086841285
PRT,-9182434
PRY,2359083.8371688873
PSE,1399846.0930254897
PYF,837405.8774895736
QAT,15461287.097300231
REU,995661.3641948514
ROU,-26806102.4
RUS,235498310.2064252
RWA,1990834.8423041347
SAU,95810399.23016608
SDN,1923510.5412572026
SEN,12511775.718499854
SGP,16238628.900998428
SGS,57822.752410197616
SHN,4264.634124999939
SJM,194975.12784230107
SLB,120708.06358270638
SLE,-1183703.43
SLV,1815659.766008038
SMR,-9112.77
SOM,4329716.267860211
SPM,52489.106603493376
SRB,1020960.4909309521
SSD,5270705.858663395
STP,45038.242361895245
SUR,-339330.83
SVK,-3354782.35
SVN,-1347590.46
SWE,-1028660.57
SWZ,514269.1418027533
SXM,-53177.1
SYC,545823.4650210848
SYR,8893113.790870532
TCA,115245.17409264413
TCD,50208157.30365303
TGO,3192662.4496828355
THA,74166098.52005225
TJK,6207581.764830917
TKL,817.9225387212912
TKM,-1322102.6
TLS,-5540772.68
TON,121771.73916240933
TTO,-16748581.35
TUN,1450719.7935718298
TUR,119630798.42642558
TUV,-76481.75
TWN,-19670275.93
TZA,54490752.05618328
UGA,12672956.875835724
UKR,-123106040.8
UMI,-356.02
UNK,200773923.1581777
URY,2809918.3645132408
USA,-3751855.08
UZB,50474133.91496459
VAT,-3398.47
VCT,228154.52200403454
VEN,-331313617.6
VGB,226435.37553388206
VIR,187068.5799449666
VNM,183783230.50973034
VUT,182061.5295293316
WLF,2629.865340259661
WSM,123957.64384624711
XKX,121767.63104738481
YEM,4199027.078983761
ZAF,-15544981.22
ZMB,12380620.103273898
ZNC,3000944.6344348593
ZWE,2895631.4750903994
