iso3_country,emissions_2015,emissions_2025,change_2015_2025,percent_change_2015_2025
ABW,1590824.2719488854,1716353.9491282736,125529.67717938824,7.8908575505705905
AFG,42534868.184532344,47774753.0662068,5239884.881674454,12.319034019200087
AGO,109433190.12779559,93369995.70967321,-16063194.418122381,-14.678539846424886
AIA,148716.1257016271,164915.61431622892,16199.48861460181,10.892893113086641
ALA,329659.3172573522,431071.5643641669,101412.2471068147,30.762742564210953
ALB,12136243.627436072,11111707.268896373,-1024536.3585396986,-8.441956094417531
AND,228208.6902705972,244392.25139658336,16183.561125986162,7.091562160405282
ARE,399343583.17776644,437054861.9198544,37711278.74208796,9.443316565149592
ARG,424606949.2270078,463406268.98351717,38799319.75650936,9.13770248629776
ARM,10666414.518704256,13327155.697715688,2660741.1790114325,24.945038225784764
ASM,312698.1061189769,334195.2730466714,21497.166927694518,6.874735250080207
ATA,74525.87735029866,615648.3053032754,541122.4279529767,726.086625467695
ATF,798.9444868704187,703.8446364363974,-95.09985043402128,-11.903186265987161
ATG,899555.5782360183,1043826.7588595997,144271.1806235814,16.038050801317876
AUS,753852739.2887143,789368731.4671799,35515992.178465605,4.7112639282807605
AUT,86241032.60563555,80530835.21993318,-5710197.385702372,-6.621207113572096
AZE,76325186.63563357,91958686.53398205,15633499.89834848,20.48275358038855
BDI,9644874.023095673,12794025.009466635,3149150.986370962,32.65103285776451
BEL,140318178.27060428,128238101.51395051,-12080076.75665377,-8.609060426481083
BEN,15569903.885484345,19269527.976804778,3699624.0913204327,23.761380407553784
BES,1755879.555764705,1099666.2922171932,-656213.2635475118,-37.37233920134822
BFA,36286042.29315829,41720129.23699029,5434086.943831995,14.975694786247296
BGD,286458380.70930016,329452748.5470354,42994367.837735236,15.008940472007415
BGR,65085785.04827086,51550375.762182586,-13535409.286088273,-20.796260314060497
BHR,63870685.949653134,75956371.1732279,12085685.223574772,18.922115903219616
BHS,4750771.396352633,7644733.845611288,2893962.4492586553,60.91563259559221
BIH,30725457.18216398,32652740.345567614,1927283.163403634,6.272593934004715
BLM,94118.74203598654,139079.0898932672,44960.34785728066,47.76981383802384
BLR,137995203.5289274,130243893.50311863,-7751310.025808752,-5.6170865563337316
BLZ,1677452.8356415788,2320478.096147049,643025.2605054704,38.33343309825646
BMU,1052887.6338346044,1088596.158113879,35708.52427927451,3.391484820580947
