iso3_country,year,sector,gas,emissions_quantity_units,temporal_granularity,sector_emissions_quantity
ABW,2015,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2015,buildings,co2e_100yr,tonnes,annual,40323.10489411317
ABW,2015,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2015,forestry-and-land-use,co2e_100yr,tonnes,annual,102254.90608500017
ABW,2015,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2015,manufacturing,co2e_100yr,tonnes,annual,33282.694466261164
ABW,2015,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2015,power,co2e_100yr,tonnes,annual,715004.2989164967
ABW,2015,transportation,co2e_100yr,tonnes,annual,780834.2005688673
ABW,2015,waste,co2e_100yr,tonnes,annual,21379.97310314716
ABW,2016,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2016,buildings,co2e_100yr,tonnes,annual,48024.40769377194
ABW,2016,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2016,forestry-and-land-use,co2e_100yr,tonnes,annual,35548.35975068409
ABW,2016,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2016,manufacturing,co2e_100yr,tonnes,annual,28684.754680512102
ABW,2016,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2016,power,co2e_100yr,tonnes,annual,722948.4238792513
ABW,2016,transportation,co2e_100yr,tonnes,annual,838703.3249926685
ABW,2016,waste,co2e_100yr,tonnes,annual,21544.911703256956
ABW,2017,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2017,buildings,co2e_100yr,tonnes,annual,41874.613182821435
ABW,2017,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2017,forestry-and-land-use,co2e_100yr,tonnes,annual,-23484.053152699867
ABW,2017,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2017,manufacturing,co2e_100yr,tonnes,annual,45909.68207092312
ABW,2017,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2017,power,co2e_100yr,tonnes,annual,751107.681854911
ABW,2017,transportation,co2e_100yr,tonnes,annual,874576.6455059681
ABW,2017,waste,co2e_100yr,tonnes,annual,21697.442211067435
ABW,2018,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2018,buildings,co2e_100yr,tonnes,annual,46758.38150729769
ABW,2018,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2018,forestry-and-land-use,co2e_100yr,tonnes,annual,-47711.80058499974
ABW,2018,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2018,manufacturing,co2e_100yr,tonnes,annual,39444.75114705269
ABW,2018,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2018,power,co2e_100yr,tonnes,annual,731047.4186330935
ABW,2018,transportation,co2e_100yr,tonnes,annual,817311.4742920097
ABW,2018,waste,co2e_100yr,tonnes,annual,21867.742709484457
ABW,2019,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2019,buildings,co2e_100yr,tonnes,annual,55892.37635568892
ABW,2019,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2019,forestry-and-land-use,co2e_100yr,tonnes,annual,-7637.083476599857
ABW,2019,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2019,manufacturing,co2e_100yr,tonnes,annual,35023.49001607962
ABW,2019,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2019,power,co2e_100yr,tonnes,annual,741139.5296304919
ABW,2019,transportation,co2e_100yr,tonnes,annual,783147.9302286906
ABW,2019,waste,co2e_100yr,tonnes,annual,22010.539681835915
ABW,2020,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2020,buildings,co2e_100yr,tonnes,annual,41782.44697014551
ABW,2020,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2020,forestry-and-land-use,co2e_100yr,tonnes,annual,33786.3892146
