iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date,year,source_file,source_folder
ABW,buildings,non-residential-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,4902.2762,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2015,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,6094.2592,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2016,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,5217.948599999999,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2017,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,5726.8778,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2018,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,6962.740999999999,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2019,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,5134.0116,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2020,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,5579.914,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2021,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,5523.8902,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2022,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,5834.7206,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2023,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,5945.4364000000005,tonnes,annual,2025-08-28 00:00:00,2026-05-18 14:20:13.779009,2024,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,6056.156795999998,tonnes,annual,2026-02-02 00:00:00,2026-05-18 14:20:13.779009,2025,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
ABW,buildings,non-residential-onsite-fuel-usage,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,1520.7035300000002,tonnes,annual,2026-05-04 00:00:00,2026-05-18 14:20:13.779009,2026,non-residential-onsite-fuel-usage_country_emissions_v5_7_0.csv,buildings
