iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date,year,source_file,source_folder
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,714328.8803285876,tonnes,annual,2024-04-18 19:20:28.389179,2026-05-18 14:20:13.779009,2015,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,722241.1116085954,tonnes,annual,2024-04-18 19:20:28.401819,2026-05-18 14:20:13.779009,2016,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,750447.9361136383,tonnes,annual,2024-04-18 19:20:28.41277,2026-05-18 14:20:13.779009,2017,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,730383.3496118592,tonnes,annual,2024-04-18 19:20:28.423317,2026-05-18 14:20:13.779009,2018,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,740415.6428627487,tonnes,annual,2024-04-18 19:20:28.433834,2026-05-18 14:20:13.779009,2019,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,740345.6408165403,tonnes,annual,2024-04-18 19:20:28.444515,2026-05-18 14:20:13.779009,2020,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,748439.0,tonnes,annual,2024-04-18 19:20:28.455764,2026-05-18 14:20:13.779009,2021,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,747657.0,tonnes,annual,2024-04-18 19:20:28.46689,2026-05-18 14:20:13.779009,2022,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,747657.0,tonnes,annual,2024-04-18 19:20:28.477837,2026-05-18 14:20:13.779009,2023,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,749610.0,tonnes,annual,2025-02-28 00:00:00,2026-05-18 14:20:13.779009,2024,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,747657.0,tonnes,annual,2026-01-27 00:00:00,2026-05-18 14:20:13.779009,2025,electricity-generation_country_emissions_v5_7_0.csv,power
ABW,power,electricity-generation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,180870.0,tonnes,annual,2026-04-28 00:00:00,2026-05-18 14:20:13.779009,2026,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,42971.0,tonnes,annual,2024-04-18 19:20:28.491207,2026-05-18 14:20:13.779009,2015,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,52148.0,tonnes,annual,2024-04-18 19:20:28.502805,2026-05-18 14:20:13.779009,2016,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,52017.0,tonnes,annual,2024-04-18 19:20:28.514557,2026-05-18 14:20:13.779009,2017,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,67728.0,tonnes,annual,2024-04-18 19:20:28.526151,2026-05-18 14:20:13.779009,2018,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,84075.0,tonnes,annual,2024-04-18 19:20:28.540204,2026-05-18 14:20:13.779009,2019,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,86628.0,tonnes,annual,2024-04-18 19:20:28.552013,2026-05-18 14:20:13.779009,2020,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,84075.0,tonnes,annual,2024-04-18 19:20:28.563405,2026-05-18 14:20:13.779009,2021,electricity-generation_country_emissions_v5_7_0.csv,power
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,84075.0,tonnes,annual,2024-04-18 19:20:28.575425,2026-05-18 14:20:13.779009,2022,electricity-generation_country_emissions_v5_7_0.csv,power
